V0_LATITUDE,V1_LATITUDE,V2_LATITUDE,V3_LATITUDE,V0_LONGITUDE,V1_LONGITUDE,V2_LONGITUDE,V3_LONGITUDE,mg/si,al/si,ca/si
10.302,5.069,5.059,10.293,-131.135,-131.192,-130.547,-130.48,0.481,1.168,0.261
-76.891,-82.549,-82.632,-76.938,-137.848,-141.78,-135.659,-134.416,0.294,0.743,0.272
-67.876,-73.556,-73.597,-67.906,-130.639,-131.769,-129.02,-128.614,0.665,1.226,0.736
33.476,28.238,28.227,33.465,-127.683,-127.75,-127.007,-126.891,0.3,0.696,0.225
-50.194,-55.864,-55.881,-50.209,-134.378,-134.663,-133.385,-133.276,0.394,1.229,0.371
-74.246,-79.509,-79.57,-74.286,-135.003,-137.233,-132.895,-132.145,0.304,0.866,0.323
-52.942,-58.613,-58.631,-52.957,-135.53,-135.854,-134.466,-134.351,0.282,0.789,0.305
64.594,58.919,58.898,64.569,-127.016,-127.22,-125.832,-125.316,0.425,0.809,0.47
80.644,74.956,74.913,80.574,-125.276,-126.311,-123.382,-120.527,0.349,0.943,0.534
4.042,-1.608,-1.617,4.033,-131.201,-131.266,-130.623,-130.557,0.299,0.878,0.332
57.191,51.94,51.923,57.172,-122.965,-123.105,-121.99,-121.676,0.277,0.627,0.361
-30.584,-35.828,-35.84,-30.595,-126.445,-126.575,-125.737,-125.666,0.329,1.074,0.329
83.382,78.094,78.043,83.291,-130.277,-131.614,-127.802,-123.395,0.326,0.867,0.19
-14.095,-19.747,-19.757,-14.104,-128.253,-128.343,-127.65,-127.586,0.74,1.348,0.591
-63.369,-68.638,-68.669,-63.393,-130.084,-130.755,-128.661,-128.412,0.246,0.737,0.266
-52.572,-58.247,-58.268,-52.59,-126.158,-126.518,-125.117,-124.968,0.314,0.803,0.341
69.569,64.292,64.27,69.541,-133.463,-133.66,-131.929,-131.277,0.531,0.697,0.499
87.146,81.875,81.795,86.922,-120.46,-126.028,-120.513,-105.535,0.339,1.053,0.28
-51.094,-56.356,-56.376,-51.111,-123.988,-124.296,-122.971,-122.84,0.379,1.261,0.507
50.917,45.251,45.237,50.901,-128.485,-128.589,-127.613,-127.378,0.187,0.787,0.266
-35.14,-40.386,-40.397,-35.151,-134.943,-135.074,-134.178,-134.117,0.381,0.648,0.402
66.658,60.98,60.959,66.631,-126.922,-127.155,-125.668,-125.067,0.342,0.87,0.331
3.95,-1.28,-1.29,3.94,-124.845,-124.911,-124.276,-124.21,0.214,1.224,0.347
-48.811,-54.48,-54.495,-48.825,-135.35,-135.608,-134.382,-134.285,0.297,0.747,0.308
-21.569,-27.224,-27.234,-21.578,-133.641,-133.738,-132.994,-132.936,0.668,1.347,0.38
-54.573,-59.837,-59.859,-54.592,-127.316,-127.684,-126.211,-126.062,0.492,1.061,0.488
53.41,48.162,48.147,53.392,-121.998,-122.119,-121.104,-120.845,0.3,0.79,0.411
87.683,82.411,82.327,87.418,-121.38,-128.174,-122.212,-103.368,0.422,0.908,0.363
89.491,85.627,85.471,88.936,-15.841,-116.25,-106.347,30.026,0.24,0.595,0.264
-28.091,-33.334,-33.346,-28.102,-126.391,-126.511,-125.704,-125.636,0.318,0.754,0.243
6.1,0.452,0.442,6.09,-125.877,-125.947,-125.311,-125.239,0.39,0.632,0.339
-7.4,-12.635,-12.644,-7.409,-133.451,-133.517,-132.852,-132.799,0.353,1.166,0.337
89.576,88.36,87.993,89.044,-32.99,-114.084,-91.202,24.761,0.349,0.51,0.22
-80.377,-85.963,-86.144,-80.45,-131.898,-142.775,-131.043,-127.056,0.377,0.892,0.475
47.337,42.093,42.079,47.322,-124.267,-124.362,-123.46,-123.266,0.545,1.696,0.547
-6.149,-11.383,-11.392,-6.157,-133.436,-133.501,-132.84,-132.787,0.373,1.319,0.452
11.7,6.466,6.457,11.691,-132.187,-132.241,-131.592,-131.525,0.317,0.99,0.396
-33.812,-39.473,-39.487,-33.824,-127.573,-127.728,-126.838,-126.759,0.374,0.961,0.362
6.546,0.896,0.887,6.537,-131.174,-131.237,-130.595,-130.527,0.382,0.73,0.462
-8.677,-14.328,-14.338,-8.686,-129.233,-129.313,-128.645,-128.582,0.234,0.465,0.345
89.558,88.393,88.016,89.007,-27.17,-112.239,-89.249,26.06,0.305,0.46,0.437
10.933,5.704,5.694,10.923,-123.703,-123.768,-123.132,-123.059,0.303,0.948,0.289
81.636,76.361,76.313,81.556,-121.549,-122.822,-119.619,-116.295,0.333,0.973,0.491
67.044,61.778,61.755,67.017,-127.992,-128.211,-126.674,-126.097,0.28,0.546,0.242
-53.094,-58.767,-58.788,-53.111,-130.362,-130.72,-129.307,-129.165,0.286,0.753,0.202
23.471,17.82,17.81,23.46,-127.802,-127.868,-127.191,-127.096,0.437,0.731,0.373
16.706,11.47,11.461,16.696,-132.138,-132.191,-131.53,-131.458,0.226,0.712,0.188
82.395,76.709,76.659,82.307,-122.36,-123.871,-120.57,-116.556,0.35,1.077,0.441
78.622,72.94,72.9,78.562,-120.208,-121.054,-118.528,-116.387,0.426,1.121,0.32
57.078,51.403,51.388,57.061,-132.715,-132.824,-131.678,-131.377,0.23,0.422,0.482
75.603,70.321,70.291,75.562,-131.897,-132.282,-130.01,-128.77,0.311,0.777,0.36
-69.019,-74.289,-74.33,-69.049,-132.871,-134.004,-131.138,-130.742,0.32,1.072,0.405
-74.412,-79.676,-79.742,-74.454,-132.012,-134.378,-129.926,-129.098,0.417,1.383,0.69
84.849,79.165,79.104,84.72,-120.699,-123.414,-119.344,-112.173,0.391,1.091,0.386
-4.249,-9.898,-9.908,-4.258,-127.062,-127.138,-126.487,-126.421,0.404,1.061,0.371
-24.334,-29.575,-29.584,-24.344,-134.736,-134.829,-134.064,-134.012,0.387,1.342,0.426
-71.251,-76.927,-76.975,-71.284,-135.3,-136.896,-133.453,-132.923,0.2,0.668,0.424
45.309,39.65,39.637,45.295,-125.373,-125.467,-124.6,-124.41,0.251,0.764,0.436
-76.559,-81.813,-81.89,-76.605,-136.754,-140.056,-134.479,-133.398,0.446,1.236,0.339
53.284,47.612,47.598,53.268,-131.689,-131.789,-130.747,-130.495,0.294,0.945,0.189
-45.245,-50.913,-50.93,-45.26,-128.967,-129.208,-128.078,-127.973,0.278,0.58,0.287
15.123,9.474,9.464,15.114,-127.895,-127.96,-127.312,-127.231,0.273,0.879,0.373
2.694,-2.956,-2.965,2.685,-130.154,-130.221,-129.579,-129.513,0.396,1.068,0.21
39.29,33.631,33.619,39.277,-128.675,-128.751,-127.952,-127.804,0.172,0.641,0.281
86.175,80.483,80.418,86.013,-126.631,-129.971,-125.202,-114.974,0.228,0.546,0.199
37.606,32.359,32.349,37.595,-133.003,-133.061,-132.262,-132.141,0.396,0.9,0.313
89.5,86.91,86.696,89.242,-59.431,-117.286,-103.527,16.896,0.392,0.838,0.404
89.207,84.852,84.72,89.493,-86.634,-118.377,-109.881,-14.821,0.362,0.706,0.285
8.128,2.898,2.889,8.118,-124.795,-124.859,-124.225,-124.155,0.298,0.805,0.443
55.273,50.021,50.005,55.255,-125.163,-125.287,-124.215,-123.936,0.457,0.931,0.418
-60.361,-65.625,-65.648,-60.38,-135.978,-136.459,-134.663,-134.503,0.275,0.895,0.49
-6.336,-11.568,-11.578,-6.345,-127.089,-127.162,-126.505,-126.445,0.425,0.793,0.493
9.373,3.723,3.713,9.363,-130.081,-130.145,-129.502,-129.43,0.327,0.861,0.287
-54.484,-60.16,-60.182,-54.503,-128.355,-128.751,-127.265,-127.106,0.494,1.2,0.488
86.773,81.501,81.424,86.572,-120.164,-125.015,-119.765,-106.839,0.441,0.98,0.362
16.785,11.135,11.125,16.776,-128.939,-129.002,-128.349,-128.266,0.357,1.077,0.465
-20.187,-25.841,-25.852,-20.198,-126.241,-126.346,-125.612,-125.545,0.262,0.647,0.263
54.288,48.625,48.609,54.27,-123.045,-123.177,-122.148,-121.861,0.286,0.729,0.372
-4.48,-9.715,-9.724,-4.489,-133.418,-133.48,-132.824,-132.77,0.366,1.023,0.489
-75.26,-80.927,-80.994,-75.301,-137.276,-140.146,-135.146,-134.237,0.397,0.794,0.308
-24.172,-29.413,-29.425,-24.184,-123.153,-123.264,-122.497,-122.43,0.391,0.814,0.64
65.162,59.902,59.88,65.136,-123.744,-123.957,-122.541,-122.026,0.372,0.724,0.198
64.504,59.234,59.215,64.481,-132.519,-132.67,-131.234,-130.785,0.47,0.971,0.684
-58.276,-63.954,-63.98,-58.297,-127.562,-128.072,-126.358,-126.159,0.311,0.57,0.39
88.084,82.818,82.73,87.771,-119.315,-128.006,-121.705,-98.445,0.4,0.875,0.349
37.302,32.059,32.048,37.29,-129.772,-129.839,-129.054,-128.926,0.364,0.793,0.316
37.626,31.968,31.956,37.614,-128.697,-128.772,-127.991,-127.851,0.203,0.568,0.281
32.63,27.391,27.381,32.619,-128.761,-128.825,-128.086,-127.974,0.34,0.903,0.262
20.128,14.474,14.465,20.119,-133.176,-133.231,-132.557,-132.476,0.381,0.752,0.245
14.706,9.474,9.464,14.696,-127.9,-127.96,-127.312,-127.237,0.31,0.804,0.427
40.848,35.6,35.589,40.836,-131.88,-131.946,-131.113,-130.973,0.321,1.019,0.379
11.295,6.066,6.056,11.285,-122.64,-122.705,-122.07,-121.995,0.346,0.459,0.376
88.741,83.506,83.406,88.291,-109.355,-125.275,-118.375,-82.984,0.38,1.063,0.392
62.53,56.861,56.841,62.506,-121.708,-121.908,-120.632,-120.168,0.295,0.675,0.34
14.892,9.657,9.648,14.883,-131.088,-131.144,-130.49,-130.418,0.368,1.264,0.294
31.564,25.907,25.896,31.553,-130.913,-130.977,-130.244,-130.131,0.368,0.787,0.521
-65.576,-70.847,-70.882,-65.603,-129.297,-130.12,-127.768,-127.464,0.451,0.739,0.362
-76.076,-81.739,-81.813,-76.12,-137.545,-140.883,-135.377,-134.321,0.345,0.658,0.289
74.918,69.239,69.207,74.874,-120.825,-121.359,-119.298,-117.965,0.33,0.56,0.359
-26.585,-32.243,-32.254,-26.596,-128.465,-128.587,-127.793,-127.724,0.284,0.548,0.242
37.328,31.665,31.655,37.317,-134.093,-134.15,-133.356,-133.231,0.411,0.85,0.326
45.541,40.294,40.281,45.526,-127.509,-127.594,-126.71,-126.534,0.429,1.518,0.343
73.522,67.84,67.811,73.483,-125.354,-125.778,-123.823,-122.706,0.403,0.748,0.241
-60.502,-66.178,-66.203,-60.522,-134.976,-135.524,-133.68,-133.492,0.356,1.047,0.372
-21.915,-27.57,-27.581,-21.925,-125.217,-125.329,-124.58,-124.511,0.327,0.763,0.483
28.317,22.665,22.655,28.306,-126.682,-126.75,-126.05,-125.942,0.276,1.343,0.388
-19,-24.237,-24.248,-19.011,-125.166,-125.262,-124.54,-124.477,0.419,1.158,0.539
-82.239,-87.7,-87.998,-82.32,-140.528,-163.043,-142.73,-134.618,0.251,0.979,0.471
-31.471,-37.13,-37.142,-31.482,-130.671,-130.809,-129.956,-129.884,0.362,0.798,0.297
-27.42,-33.077,-33.089,-27.43,-129.534,-129.657,-128.855,-128.786,0.459,0.886,0.436
5.621,0.391,0.382,5.611,-124.825,-124.89,-124.256,-124.188,0.427,0.628,0.396
63.267,57.999,57.98,63.246,-132.558,-132.699,-131.319,-130.906,0.333,0.877,0.388
77.388,71.707,71.67,77.335,-120.453,-121.169,-118.819,-117.015,0.322,0.748,0.238
76.812,71.538,71.503,76.763,-124.954,-125.534,-123.173,-121.623,0.253,0.886,0.291
18.455,12.807,12.797,18.444,-123.614,-123.683,-123.033,-122.943,0.315,1.1,0.252
-42.783,-48.037,-48.053,-42.797,-124.686,-124.892,-123.83,-123.735,0.297,0.879,0.504
26.39,20.741,20.73,26.379,-123.517,-123.588,-122.906,-122.799,0.355,0.829,0.366
89.558,86.792,86.589,89.007,-27.17,-120.144,-106.707,26.06,0.36,0.589,0.344
-19.339,-24.577,-24.587,-19.348,-134.66,-134.741,-134.017,-133.966,0.343,1.115,0.561
23.649,18.412,18.402,23.639,-130.999,-131.055,-130.368,-130.282,0.323,0.958,0.312
-69.934,-75.61,-75.656,-69.966,-132.003,-133.409,-130.26,-129.767,0.302,0.799,0.633
9.271,4.04,4.03,9.262,-129.021,-129.081,-128.44,-128.372,0.404,1.201,0.363
51.955,46.706,46.691,51.938,-125.242,-125.351,-124.357,-124.12,0.368,0.987,0.495
27.387,22.156,22.145,27.376,-121.381,-121.45,-120.761,-120.658,0.189,0.437,0.297
14.381,9.148,9.138,14.372,-130.029,-130.086,-129.435,-129.363,0.631,1.619,0.624
-37.636,-43.3,-43.314,-37.649,-126.623,-126.803,-125.846,-125.759,0.614,1.202,0.415
66.401,61.14,61.118,66.374,-123.682,-123.914,-122.437,-121.871,0.372,0.845,0.246
-63.601,-68.869,-68.898,-63.625,-133.207,-133.869,-131.769,-131.533,0.376,0.926,0.136
32.227,26.989,26.978,32.215,-127.699,-127.764,-127.032,-126.92,0.267,0.634,0.236
63.267,57.587,57.569,63.246,-132.558,-132.708,-131.345,-130.906,0.308,0.869,0.384
-52.529,-57.787,-57.804,-52.544,-135.51,-135.799,-134.448,-134.344,0.234,0.56,0.264
28.892,23.656,23.646,28.881,-127.74,-127.802,-127.094,-126.992,0.375,0.976,0.27
27.9,22.248,22.238,27.889,-126.687,-126.755,-126.058,-125.95,0.221,0.852,0.341
-82.239,-87.343,-87.596,-82.32,-140.528,-158.449,-140.886,-134.618,0.216,0.983,0.46
65.276,59.601,59.58,65.251,-125.902,-126.12,-124.707,-124.161,0.404,0.506,0.436
6.874,1.645,1.635,6.864,-124.81,-124.875,-124.24,-124.172,0.297,0.745,0.347
49.88,44.218,44.203,49.864,-125.286,-125.395,-124.451,-124.221,0.596,1.054,0.512
60.934,55.259,55.242,60.913,-129.32,-129.475,-128.223,-127.825,0.404,0.678,0.44
14.395,8.747,8.738,14.385,-124.721,-124.789,-124.148,-124.065,0.243,0.637,0.227
63.485,58.218,58.199,63.462,-130.329,-130.491,-129.115,-128.679,0.278,0.632,0.375
31.81,26.156,26.145,31.799,-127.704,-127.774,-127.048,-126.929,0.319,0.717,0.241
-40.949,-46.201,-46.217,-40.963,-126.723,-126.911,-125.895,-125.807,0.421,0.871,0.443
69.158,63.471,63.45,69.131,-133.481,-133.683,-132.008,-131.339,0.555,0.92,0.47
-64.756,-70.437,-70.471,-64.782,-129.199,-130.04,-127.739,-127.428,0.378,0.994,0.38
-80.55,-86.142,-86.306,-80.615,-139.853,-150.447,-138.458,-135.043,0.424,1.247,0.326
-33.904,-39.566,-39.58,-33.916,-126.524,-126.681,-125.789,-125.709,0.441,1.054,0.325
-55.719,-60.984,-61.006,-55.739,-128.43,-128.821,-127.291,-127.136,0.485,0.985,0.576
67.227,61.965,61.942,67.199,-123.638,-123.884,-122.362,-121.759,0.356,0.734,0.252
66.151,60.879,60.859,66.127,-132.462,-132.63,-131.111,-130.604,0.357,1.054,0.329
63.576,57.907,57.886,63.551,-120.589,-120.805,-119.49,-118.99,0.378,1.066,0.385
64.185,58.514,58.494,64.16,-121.636,-121.857,-120.514,-119.995,0.353,0.909,0.329
36.236,30.997,30.985,36.224,-126.58,-126.651,-125.886,-125.758,0.3,0.926,0.522
-51.932,-57.191,-57.209,-51.948,-133.424,-133.718,-132.384,-132.27,0.367,0.979,0.222
7.026,1.378,1.368,7.016,-126.925,-126.994,-126.357,-126.284,0.286,0.989,0.347
-10.367,-16.017,-16.028,-10.377,-123.977,-124.064,-123.392,-123.325,0.228,0.644,0.312
75.549,70.281,70.247,75.503,-119.651,-120.203,-118.032,-116.667,0.32,1.131,0.353
9.704,4.469,4.46,9.695,-133.273,-133.326,-132.678,-132.616,0.373,0.95,0.372
-4.106,-9.755,-9.765,-4.116,-123.89,-123.969,-123.32,-123.252,0.513,1.153,0.356
-56.056,-61.318,-61.339,-56.074,-133.647,-134.022,-132.494,-132.354,0.358,1.049,0.315
59.631,54.378,54.36,59.609,-121.816,-121.977,-120.789,-120.426,0.36,0.847,0.459
-63.202,-68.883,-68.915,-63.227,-127.993,-128.734,-126.603,-126.324,0.388,1.016,0.326
43.553,37.886,37.876,43.541,-134.025,-134.09,-133.219,-133.063,0.36,0.846,0.402
49.473,43.814,43.8,49.457,-121.022,-121.136,-120.211,-119.979,0.62,0.994,0.418
79.854,74.582,74.539,79.788,-119.904,-120.874,-118.069,-115.609,0.302,1.133,0.354
67.607,62.336,62.314,67.579,-130.161,-130.372,-128.788,-128.197,0.191,0.745,0.184
-71.173,-76.849,-76.895,-71.205,-136.279,-137.829,-134.418,-133.92,0.38,0.68,0.378
70.368,64.688,64.662,70.336,-126.707,-127.017,-125.305,-124.489,0.319,0.479,0.442
72.858,67.592,67.562,72.819,-121.055,-121.464,-119.559,-118.55,0.535,1.068,0.46
-36.454,-41.702,-41.717,-36.467,-125.54,-125.699,-124.771,-124.691,0.28,0.776,0.378
3.426,-2.223,-2.232,3.417,-129.086,-129.154,-128.513,-128.445,0.454,0.981,0.375
-4.572,-10.223,-10.232,-4.58,-132.358,-132.428,-131.772,-131.712,0.366,0.675,0.268
-55.042,-60.719,-60.742,-55.062,-126.3,-126.716,-125.194,-125.026,0.266,1.027,0.424
-49.868,-55.124,-55.142,-49.883,-133.329,-133.592,-132.338,-132.234,0.352,1.207,0.347
18.554,13.319,13.31,18.544,-129.985,-130.042,-129.379,-129.301,0.261,0.891,0.409
-28.273,-33.516,-33.529,-28.285,-124.29,-124.413,-123.603,-123.533,0.26,0.643,0.284
88.78,84.356,84.239,89.451,-107.044,-123.521,-115.631,-75.312,0.256,0.701,0.236
69.776,64.514,64.488,69.743,-120.235,-120.55,-118.885,-118.127,0.378,0.995,0.241
81.052,75.355,75.316,80.988,-132.319,-133.111,-130.021,-127.22,0.361,0.637,0.28
-4.897,-10.132,-10.141,-4.906,-133.422,-133.485,-132.828,-132.774,0.254,1.011,0.395
20.687,15.448,15.44,20.678,-134.245,-134.293,-133.613,-133.54,0.323,0.856,0.206
-35.702,-40.947,-40.96,-35.713,-133.913,-134.052,-133.146,-133.081,0.379,1.058,0.406
62.384,57.125,57.105,62.361,-126.021,-126.193,-124.887,-124.467,0.291,0.907,0.457
-1.414,-7.066,-7.074,-1.422,-134.446,-134.508,-133.856,-133.8,0.441,1.151,0.459
-45.088,-50.755,-50.769,-45.101,-135.215,-135.43,-134.318,-134.233,0.349,0.811,0.363
71.251,65.574,65.548,71.216,-122.285,-122.651,-120.904,-119.995,0.324,0.806,0.492
-34.062,-39.723,-39.736,-34.074,-128.629,-128.784,-127.892,-127.813,0.44,1.296,0.289
32.764,27.529,27.518,32.752,-124.497,-124.567,-123.837,-123.721,0.556,1.055,0.401
-82.366,-87.803,-88.126,-82.451,-139.752,-164.188,-142.876,-133.717,0.336,0.998,0.164
-26.237,-31.894,-31.905,-26.247,-132.669,-132.782,-131.994,-131.931,0.304,0.769,0.339
-45.498,-50.754,-50.771,-45.513,-126.882,-127.111,-125.981,-125.88,0.393,0.74,0.235
32.07,26.833,26.822,32.058,-126.635,-126.702,-125.973,-125.86,0.324,1.027,0.452
21.324,16.094,16.083,21.313,-122.519,-122.584,-121.924,-121.835,0.444,0.983,0.406
-18.895,-24.133,-24.143,-18.905,-131.492,-131.58,-130.858,-130.801,0.462,1.274,0.394
73.768,68.185,68.156,73.727,-124.232,-124.672,-122.693,-121.554,0.476,1.01,0.349
-21.343,-26.581,-26.592,-21.353,-127.314,-127.414,-126.674,-126.611,0.338,1.124,0.46
-8.839,-14.49,-14.5,-8.849,-127.122,-127.205,-126.538,-126.473,0.41,1.077,0.443
8.86,3.629,3.619,8.851,-127.965,-128.026,-127.387,-127.318,0.351,0.952,0.299
-30.303,-35.962,-35.973,-30.314,-133.796,-133.921,-133.087,-133.023,0.427,1.152,0.327
-60.797,-66.066,-66.095,-60.82,-126.723,-127.285,-125.41,-125.193,0.354,0.687,0.243
-49.215,-54.474,-54.493,-49.231,-127.038,-127.311,-126.063,-125.947,0.63,1.596,0.99
34.06,28.818,28.808,34.049,-130.885,-130.946,-130.189,-130.075,0.504,0.954,0.703
53.566,47.903,47.887,53.549,-124.133,-124.259,-123.243,-122.968,0.342,0.903,0.313
71.653,65.969,65.943,71.619,-128.814,-129.139,-127.317,-126.414,0.562,0.991,0.517
88.98,84.556,84.442,89.608,-111.033,-128.301,-119.967,-61.76,0.292,1.173,0.264
39.016,33.777,33.765,39.002,-124.408,-124.485,-123.697,-123.555,0.326,0.713,0.306
-32.716,-38.377,-38.389,-32.728,-130.699,-130.843,-129.973,-129.899,0.544,1.187,0.357
-42.19,-47.444,-47.459,-42.205,-126.764,-126.961,-125.917,-125.826,0.342,0.82,0.564
-31.818,-37.062,-37.073,-31.828,-134.871,-134.989,-134.141,-134.084,0.326,0.972,0.207
34.015,28.362,28.351,34.003,-124.48,-124.556,-123.82,-123.69,0.405,0.856,0.278
61.335,55.655,55.639,61.316,-133.734,-133.856,-132.567,-132.19,0.183,0.562,0.211
-29.176,-34.82,-34.833,-29.188,-123.257,-123.395,-122.568,-122.492,0.475,1.104,0.372
-8.281,-13.931,-13.941,-8.291,-123.947,-124.032,-123.368,-123.301,0.367,0.82,0.413
81.433,76.152,76.106,81.357,-126.172,-127.275,-124.072,-120.96,0.348,0.803,0.468
-51.439,-56.699,-56.718,-51.456,-129.234,-129.535,-128.209,-128.085,0.361,0.741,0.345
-45.73,-50.987,-51.005,-45.746,-123.747,-123.983,-122.841,-122.735,0.348,0.795,0.414
-66.335,-72.013,-72.048,-66.361,-134.534,-135.454,-132.98,-132.667,0.23,0.654,0.497
15.379,10.148,10.138,15.369,-126.831,-126.892,-126.244,-126.168,0.206,0.5,0.248
63.624,58.363,58.343,63.6,-125.973,-126.158,-124.801,-124.344,0.363,1.079,0.541
85.998,80.322,80.251,85.828,-115.632,-119.779,-115.258,-104.91,0.536,1.042,0.597
1.538,-3.695,-3.704,1.529,-131.228,-131.29,-130.645,-130.586,0.394,1.02,0.372
6.277,1.043,1.034,6.268,-132.241,-132.298,-131.654,-131.592,0.45,1.168,0.625
-59.538,-64.801,-64.824,-59.557,-135.917,-136.37,-134.635,-134.483,0.272,0.815,0.417
14.395,9.165,9.155,14.385,-124.721,-124.785,-124.142,-124.065,0.264,0.665,0.201
65.959,60.69,60.669,65.933,-130.234,-130.423,-128.929,-128.409,0.419,0.956,0.28
0.435,-5.216,-5.225,0.426,-132.302,-132.368,-131.721,-131.658,0.175,0.759,0.371
29.482,23.826,23.816,29.471,-130.936,-130.999,-130.281,-130.174,0.281,1.136,0.378
84.911,79.229,79.167,84.779,-119.46,-122.288,-118.208,-110.87,0.391,0.979,0.287
72.664,66.976,66.95,72.629,-130.985,-131.309,-129.385,-128.415,0.575,1.113,0.603
-42.335,-48,-48.014,-42.348,-134.092,-134.288,-133.244,-133.161,0.229,0.668,0.176
46.657,41.405,41.392,46.644,-131.801,-131.876,-130.958,-130.783,0.714,1.257,0.516
49.634,43.965,43.952,49.62,-132.848,-132.93,-131.962,-131.754,0.296,1.038,0.248
3.446,-2.205,-2.214,3.438,-133.334,-133.395,-132.749,-132.687,0.462,0.806,0.434
-46.325,-51.995,-52.013,-46.34,-126.915,-127.174,-126.007,-125.894,0.401,0.89,0.264
-49.794,-55.465,-55.483,-49.81,-130.199,-130.497,-129.222,-129.099,0.331,0.703,0.254
18.455,13.225,13.215,18.444,-123.614,-123.678,-123.027,-122.943,0.347,1.254,0.302
57.005,51.751,51.734,56.986,-126.192,-126.323,-125.199,-124.895,0.371,1.061,0.465
-62.548,-67.817,-67.846,-62.572,-130.002,-130.63,-128.616,-128.382,0.258,0.8,0.388
-50.051,-55.307,-55.323,-50.065,-135.4,-135.652,-134.397,-134.303,0.218,0.409,0.184
26.291,21.052,21.043,26.281,-132.043,-132.097,-131.394,-131.305,0.409,1.248,0.421
48.84,43.181,43.167,48.824,-122.102,-122.213,-121.298,-121.073,0.347,0.675,0.203
23.629,18.398,18.388,23.618,-121.429,-121.496,-120.827,-120.732,0.175,0.48,0.285
66.563,60.879,60.859,66.538,-132.446,-132.63,-131.111,-130.554,0.334,0.999,0.261
-11.915,-17.566,-17.576,-11.925,-125.054,-125.144,-124.463,-124.397,0.186,0.703,0.325
57.559,51.893,51.876,57.538,-121.883,-122.038,-120.927,-120.583,0.652,1.31,0.495
-43.431,-48.686,-48.702,-43.446,-126.806,-127.015,-125.94,-125.845,0.472,0.738,0.416
-30.987,-36.23,-36.241,-30.997,-134.855,-134.969,-134.132,-134.075,0.408,1.099,0.233
74.121,68.434,68.405,74.081,-128.608,-129.02,-126.983,-125.822,0.364,0.917,0.355
-18.329,-23.566,-23.576,-18.338,-132.538,-132.623,-131.906,-131.851,0.266,0.919,0.33
43.233,37.578,37.565,43.219,-121.144,-121.24,-120.411,-120.231,0.299,0.861,0.25
2.174,-3.475,-3.485,2.165,-129.1,-129.169,-128.527,-128.46,0.325,1.197,0.392
28.175,22.525,22.515,28.164,-124.556,-124.628,-123.933,-123.823,0.245,1.079,0.298
-31.061,-36.721,-36.734,-31.073,-125.404,-125.548,-124.698,-124.62,0.396,1.052,0.538
22.308,16.655,16.645,22.297,-129.945,-130.007,-129.331,-129.24,0.267,0.761,0.357
63.162,57.493,57.473,63.138,-120.607,-120.818,-119.519,-119.033,0.332,0.852,0.34
36.886,31.643,31.632,36.874,-129.777,-129.844,-129.063,-128.937,0.409,0.846,0.363
2.937,-2.71,-2.72,2.927,-122.742,-122.817,-122.182,-122.109,0.365,1.185,0.392
-80.099,-85.698,-85.861,-80.167,-134.684,-144.359,-133.455,-130.021,0.223,0.882,0.279
67.536,61.855,61.833,67.508,-129.061,-129.295,-127.746,-127.114,0.273,0.931,0.44
-31.789,-37.448,-37.461,-31.8,-131.729,-131.866,-131.01,-130.94,0.273,0.668,0.328
-48.555,-53.812,-53.83,-48.571,-130.145,-130.402,-129.184,-129.076,0.385,0.692,0.368
87.027,81.769,81.686,86.799,-111.956,-118.149,-112.832,-97.983,0.201,0.944,0.21
8.844,3.197,3.187,8.834,-123.728,-123.798,-123.164,-123.088,0.325,0.8,0.221
-12.673,-18.326,-18.335,-12.682,-134.572,-134.647,-133.959,-133.906,0.427,0.695,0.282
-61.637,-66.904,-66.932,-61.66,-131.989,-132.561,-130.639,-130.429,0.342,0.747,0.547
2.341,-2.89,-2.9,2.331,-125.922,-125.989,-125.351,-125.286,0.441,0.891,0.367
21.972,16.74,16.73,21.962,-125.694,-125.756,-125.089,-125.001,0.48,1.276,0.591
-56.468,-62.142,-62.164,-56.486,-133.672,-134.094,-132.519,-132.364,0.279,0.883,0.223
-6.07,-11.303,-11.313,-6.079,-130.257,-130.327,-129.669,-129.611,0.497,1.213,0.407
11.372,5.72,5.711,11.363,-133.257,-133.314,-132.664,-132.595,0.573,1.266,0.442
89.5,85.288,85.146,89.242,-59.431,-120.239,-110.919,16.896,0.47,0.925,0.382
-16.84,-22.494,-22.503,-16.849,-134.625,-134.708,-133.997,-133.944,0.475,1.152,0.482
39.069,33.413,33.401,39.056,-125.473,-125.555,-124.768,-124.617,0.455,1.121,0.611
-57.365,-63.043,-63.067,-57.386,-128.539,-129.014,-127.365,-127.179,0.576,0.962,0.515
-52.758,-58.429,-58.449,-52.774,-133.465,-133.801,-132.415,-132.286,0.271,0.81,0.199
-73.425,-79.099,-79.163,-73.466,-129.691,-132,-127.766,-126.94,0.392,0.739,0.497
-52.263,-57.524,-57.544,-52.281,-129.275,-129.591,-128.231,-128.102,0.327,1.079,0.503
33.901,28.666,28.654,33.889,-123.418,-123.49,-122.754,-122.632,0.432,1.1,0.544
-6.908,-12.557,-12.567,-6.918,-124.983,-125.065,-124.407,-124.34,0.362,0.879,0.386
43.178,37.521,37.509,43.164,-124.341,-124.433,-123.599,-123.423,0.258,1.121,0.179
