V0_LATITUDE,V1_LATITUDE,V2_LATITUDE,V3_LATITUDE,V0_LONGITUDE,V1_LONGITUDE,V2_LONGITUDE,V3_LONGITUDE,mg/si,al/si,ca/si
84.545,78.85,78.795,84.431,-128.293,-130.3,-126.241,-120.003,0.22,0.549,0.25
11.7,6.049,6.04,11.691,-132.187,-132.245,-131.597,-131.525,0.3,0.979,0.371
-14.678,-19.913,-19.923,-14.688,-127.206,-127.291,-126.598,-126.537,0.413,0.614,0.186
69.403,63.724,63.7,69.371,-125.68,-125.973,-124.333,-123.578,0.41,0.823,0.293
46.345,40.687,40.674,46.33,-122.152,-122.255,-121.381,-121.179,0.272,1.037,0.234
-77.679,-82.926,-83.021,-77.733,-134.249,-138.579,-132.033,-130.539,0.579,1.04,0.604
-67.874,-73.556,-73.599,-67.905,-126.503,-127.668,-124.89,-124.458,0.245,0.79,0.396
-32.152,-37.812,-37.825,-32.164,-127.533,-127.679,-126.815,-126.738,0.417,0.918,0.34
9.262,4.033,4.023,9.252,-123.723,-123.788,-123.154,-123.082,0.469,1.002,0.258
17.54,12.304,12.294,17.53,-132.13,-132.183,-131.519,-131.446,0.253,0.536,0.262
51.136,45.891,45.876,51.119,-120.984,-121.098,-120.133,-119.899,0.361,0.655,0.344
-26.252,-31.493,-31.506,-26.263,-123.195,-123.312,-122.524,-122.455,0.327,1.08,0.457
-20.347,-26.001,-26.012,-20.357,-129.405,-129.507,-128.772,-128.708,0.433,0.899,0.432
46.09,40.431,40.418,46.075,-124.29,-124.389,-123.513,-123.316,0.577,1.406,0.446
-64.474,-69.74,-69.768,-64.496,-136.337,-137.009,-134.835,-134.62,0.291,1.121,0.363
-2.812,-8.463,-8.472,-2.82,-133.399,-133.465,-132.812,-132.753,0.379,0.905,0.439
62.372,56.694,56.676,62.351,-131.471,-131.623,-130.303,-129.88,0.595,1.293,0.432
51.491,45.829,45.814,51.474,-124.182,-124.298,-123.327,-123.078,0.254,0.692,0.209
-56.794,-62.471,-62.494,-56.814,-129.541,-129.994,-128.384,-128.207,0.28,1.031,0.354
-48.566,-53.825,-53.844,-48.582,-124.914,-125.183,-123.953,-123.837,0.421,1.294,0.474
78.187,72.901,72.867,78.138,-132.807,-133.291,-130.656,-128.965,0.475,1.151,0.525
-82.264,-87.349,-87.628,-82.353,-135.765,-154.859,-137.023,-129.738,0.233,0.723,0.361
59.282,54.021,54.004,59.261,-129.369,-129.503,-128.294,-127.956,0.545,1.045,0.515
48.889,43.645,43.631,48.873,-123.169,-123.27,-122.344,-122.136,0.516,1.092,0.463
81.464,76.185,76.138,81.387,-125.017,-126.16,-122.962,-119.807,0.341,0.935,0.575
-54.985,-60.661,-60.684,-55.004,-127.341,-127.753,-126.237,-126.072,0.494,1.15,0.524
-56.034,-61.712,-61.736,-56.054,-124.274,-124.723,-123.14,-122.958,0.393,0.716,0.301
-70.977,-76.249,-76.299,-71.013,-129.119,-130.6,-127.271,-126.736,0.472,0.947,0.563
71.604,66.333,66.306,71.569,-126.618,-126.943,-125.109,-124.245,0.489,0.687,0.544
11.554,5.903,5.894,11.545,-131.122,-131.183,-130.537,-130.464,0.305,0.947,0.21
31.144,25.494,25.483,31.132,-121.33,-121.408,-120.698,-120.576,0.311,0.807,0.35
89.607,88.197,87.872,89.222,-62.775,-120.398,-98.3,19.508,0.38,1.728,0.324
38.574,32.91,32.9,38.563,-134.08,-134.138,-133.331,-133.201,0.418,0.612,0.298
-78.462,-84.099,-84.222,-78.524,-129.6,-135.821,-127.832,-125.576,0.187,0.412,0.25
45.626,40.372,40.361,45.613,-134.001,-134.064,-133.155,-132.997,0.416,0.885,0.485
9.442,3.794,3.784,9.432,-125.838,-125.906,-125.27,-125.194,0.437,0.783,0.177
